,Year,PiecesOrdered,PiecesDelivered,PiecesReturned,Demand,Sales,ReturnValue
0,2017,1387066,1352384,479686,39815336.9589,23580947.2124,15080529.9685
1,2018,1441427,1410624,490481,42277345.0876,25576221.9671,15676016.1175
2,2019,1535565,1495562,503182,45510060.9255,27906201.4227,16344216.5956
3,2020,1797842,1744173,516492,56611989.7992,36933761.9131,17853584.0598
4,2021,1764444,1713280,494999,56372862.3822,37198325.1236,17471264.4324
5,2022,1609871,1578860,441774,55466776.6719,37659312.4904,16831237.6124
6,2023,1399227,1366429,385496,55509636.8501,37066222.6214,17275856.5806
7,2024,765200,726812,197888,30044776.043,19904565.8655,8800688.9468
